calendar_date,Point,Site,value,scale
2019-02-17,SE,grass,0.522771,1
2019-02-17,SE,renosterveld,0.3826174,1
2019-02-17,SW,limestone,0.4368737,1
2019-02-17,SW,sand,0.4729805,1
2019-02-17,SW,invasion,0.7536343,1
2019-02-17,SW,sandstone,0.4612207,1
2019-02-17,SW,grass,0.597075,1
2019-02-17,SW,renosterveld,0.5,1
2019-02-17,NW,limestone,0.4887387,1
2019-02-17,NW,sandstone,0.5021628,1
2019-02-17,NE,limestone,0.4925373,1
2019-02-17,NE,sand,0.4690058,1
2019-02-17,NE,invasion,0.7548279,1
2019-02-17,NE,sandstone,0.4719472,1
2019-02-17,NE,grass,0.4158416,1
2019-02-17,NE,renosterveld,0.4786621,1
2019-02-17,NW,sand,0.510101,1
2019-02-17,NW,invasion,0.750305,1
2019-02-17,NW,grass,0.6433942,1
2019-02-17,NW,renosterveld,0.3578983,1
2019-02-20,SE,limestone,NA,1
2019-02-20,SE,sand,0.1298436,1
2019-02-20,SE,invasion,0.7480538,1
2019-02-20,SE,sandstone,0.5285914,1
2019-02-20,SE,grass,NA,1
2019-02-20,SE,renosterveld,-0.01864101,1
2019-02-20,SW,limestone,0.4832962,1
2019-02-20,SW,sand,0.5044563,1
2019-02-20,SW,invasion,0.76693769999999994,1
2019-02-20,SW,sandstone,NA,1
2019-02-20,SW,grass,NA,1
2019-02-20,SW,renosterveld,NA,1
2019-02-20,NW,limestone,0.4839039,1
2019-02-20,NW,sandstone,NA,1
2019-02-20,NE,limestone,0.3714689,1
