calendar_date,site,value,age,scale
2008-01-17,invasion,0.7442000000000001,2929.912388774812,1
2008-01-17,sandstone,0.5913,2929.912388774812,1
2008-01-17,grass,0.5654,2929.912388774812,1
2008-01-17,renosterveld,0.47590000000000005,2929.912388774812,1
2008-02-02,limestone,0.47840000000000005,2929.956194387406,1
2008-02-02,sand,0.4555,2929.956194387406,1
2008-02-02,invasion,0.6603,2929.956194387406,1
2008-02-02,sandstone,0.6336,2929.956194387406,1
2008-02-02,grass,0.6037,2929.956194387406,1
2008-02-02,renosterveld,0.459,2929.956194387406,1
2008-02-18,limestone,0.5318,2930,1
2008-02-18,sand,0.5071,2930,1
2008-02-18,invasion,0.7933,2930,1
2008-02-18,sandstone,0.6363,2930,1
2008-02-18,grass,0.5107,2930,1
2008-02-18,renosterveld,0.40690000000000004,2930,1
2008-03-05,limestone,0.47900000000000004,2930.043805612594,1
2008-03-05,sand,0.5186000000000001,2930.043805612594,1
2008-03-05,invasion,0.7799,2930.043805612594,1
2008-03-05,sandstone,0.6379,2930.043805612594,1
2008-03-05,grass,0.5145000000000001,2930.043805612594,1
2008-03-05,renosterveld,0.4116,2930.043805612594,1
2008-03-21,limestone,0.5391,2930.087611225188,1
2008-03-21,sand,0.5185000000000001,2930.087611225188,1
2008-03-21,invasion,0.7383000000000001,2930.087611225188,1
2008-03-21,sandstone,0.632,2930.087611225188,1
2008-03-21,grass,0.5093,2930.087611225188,1
2008-03-21,renosterveld,0.45990000000000003,2930.087611225188,1
2008-04-06,limestone,0.5690000000000001,2930.131416837782,1
2008-04-06,sand,0.5697,2930.131416837782,1
2008-04-06,invasion,0.7622,2930.131416837782,1
2008-04-06,sandstone,0.7026,2930.131416837782,1
2008-04-06,grass,0.6435000000000001,2930.131416837782,1
2008-04-06,renosterveld,0.4364,2930.131416837782,1
2008-04-22,limestone,0.5657,2930.1752224503766,1
2008-04-22,sand,0.5694,2930.1752224503766,1
2008-04-22,invasion,0.8061,2930.1752224503766,1
2008-04-22,sandstone,0.6974,2930.1752224503766,1
2008-04-22,grass,0.6397,2930.1752224503766,1
2008-04-22,renosterveld,0.5015000000000001,2930.1752224503766,1
2008-05-08,limestone,0.5576,2930.2190280629707,1
2008-05-08,sand,0.6088,2930.2190280629707,1
2008-05-08,invasion,0.7803,2930.2190280629707,1
2008-05-08,sandstone,0.7140000000000001,2930.2190280629707,1
2008-05-08,grass,0.6307,2930.2190280629707,1
2008-05-08,renosterveld,0.48050000000000004,2930.2190280629707,1
2008-05-24,limestone,0.5653,2930.2628336755647,1
